chromosome_3	6949977	6951332	scaffold1_size20154211_pilon	130078	128747	1356	1332	1
chromosome_3	6916907	6934838	scaffold1_size20154211_pilon	151129	133202	17932	17928	2
chromosome_3	6899957	6909801	scaffold1_size20154211_pilon	162299	152460	9845	9840	3
chromosome_13	2937987	2940829	scaffold1_size20154211_pilon	233982	236824	2843	2843	4
chromosome_1	8019982	8033585	scaffold1_size20154211_pilon	260189	246592	13604	13598	5
chromosome_8	186479	192139	scaffold1_size20154211_pilon	260212	265872	5661	5661	6
chromosome_1	7889083	8019982	scaffold1_size20154211_pilon	397369	266448	130900	130922	7
chromosome_1	7832494	7888982	scaffold1_size20154211_pilon	454370	397888	56489	56483	8
chromosome_1	7794290	7831393	scaffold1_size20154211_pilon	491448	454366	37104	37083	9
chromosome_1	7776675	7791594	scaffold1_size20154211_pilon	506406	491512	14920	14895	10
chromosome_1	7764232	7776675	scaffold1_size20154211_pilon	520017	507578	12444	12440	11
chromosome_1	7741638	7742696	scaffold1_size20154211_pilon	523325	522266	1059	1060	12
chromosome_1	7716571	7741534	scaffold1_size20154211_pilon	549168	524215	24964	24954	13
chromosome_1	7714960	7716470	scaffold1_size20154211_pilon	550687	549176	1511	1512	14
chromosome_1	7686156	7714973	scaffold1_size20154211_pilon	580190	551377	28818	28814	15
chromosome_1	7668846	7686055	scaffold1_size20154211_pilon	598229	581023	17210	17207	16
chromosome_1	7645122	7668745	scaffold1_size20154211_pilon	622754	599130	23624	23625	17
chromosome_1	7637508	7645020	scaffold1_size20154211_pilon	630230	622720	7513	7511	18
chromosome_1	7636048	7637395	scaffold1_size20154211_pilon	631583	630236	1348	1348	19
chromosome_1	7595382	7636050	scaffold1_size20154211_pilon	677319	636665	40669	40655	20
chromosome_1	7592883	7595246	scaffold1_size20154211_pilon	679825	677469	2364	2357	21
chromosome_1	7521696	7592782	scaffold1_size20154211_pilon	754195	683126	71087	71070	22
chromosome_1	7291888	7521595	scaffold1_size20154211_pilon	983982	754310	229708	229673	23
chromosome_1	7286366	7287994	scaffold1_size20154211_pilon	989346	987718	1629	1629	24
chromosome_1	7188670	7286265	scaffold1_size20154211_pilon	1088974	991388	97596	97587	25
chromosome_1	7184297	7186606	scaffold1_size20154211_pilon	1091988	1089679	2310	2310	26
chromosome_8	4784972	4787277	scaffold1_size20154211_pilon	1102549	1100244	2306	2306	27
chromosome_3	8447038	8448092	scaffold1_size20154211_pilon	1136257	1137311	1055	1055	28
chromosome_1	6976149	7146564	scaffold1_size20154211_pilon	1353411	1183014	170416	170398	29
chromosome_1	6961522	6964169	scaffold1_size20154211_pilon	1357000	1359663	2648	2664	30
