scaffold1_size20154211_pilon	24431	24521	chromosome_3	2216158	2216068	91	91	1
scaffold1_size20154211_pilon	32920	33045	chromosome_17	2183549	2183674	126	126	2
scaffold1_size20154211_pilon	45861	46428	chromosome_9	5319492	5320059	568	568	3
scaffold1_size20154211_pilon	64704	64790	chromosome_7	6091948	6092034	87	87	4
scaffold1_size20154211_pilon	88879	89001	chromosome_10	783169	783291	123	123	5
scaffold1_size20154211_pilon	133202	151129	chromosome_3	6934838	6916907	17928	17932	6
scaffold1_size20154211_pilon	183477	187890	chromosome_3	6954206	6949777	4414	4430	7
scaffold1_size20154211_pilon	196182	196667	chromosome_8	3050681	3050180	486	502	8
scaffold1_size20154211_pilon	212488	218217	scaffold_22	99912	105641	5730	5730	9
scaffold1_size20154211_pilon	218336	218746	chromosome_10	6576019	6575618	411	402	10
scaffold1_size20154211_pilon	230888	231721	chromosome_11	1239	2083	834	845	11
scaffold1_size20154211_pilon	240947	242170	chromosome_9	7787735	7788958	1224	1224	12
scaffold1_size20154211_pilon	243355	244031	chromosome_17	566710	567373	677	664	13
scaffold1_size20154211_pilon	246592	260189	chromosome_1	8033585	8019982	13598	13604	14
scaffold1_size20154211_pilon	266448	397369	chromosome_1	8019982	7889083	130922	130900	15
scaffold1_size20154211_pilon	397687	397813	chromosome_14	2590214	2590340	127	127	16
scaffold1_size20154211_pilon	397888	454370	chromosome_1	7888982	7832494	56483	56489	17
scaffold1_size20154211_pilon	454366	491448	chromosome_1	7831393	7794290	37083	37104	18
scaffold1_size20154211_pilon	491512	510160	chromosome_1	7791594	7772918	18649	18677	19
scaffold1_size20154211_pilon	522266	523325	chromosome_1	7742696	7741638	1060	1059	20
scaffold1_size20154211_pilon	524215	549168	chromosome_1	7741534	7716571	24954	24964	21
scaffold1_size20154211_pilon	549176	550687	chromosome_1	7716470	7714960	1512	1511	22
scaffold1_size20154211_pilon	551377	580190	chromosome_1	7714973	7686156	28814	28818	23
scaffold1_size20154211_pilon	581023	598229	chromosome_1	7686055	7668846	17207	17210	24
scaffold1_size20154211_pilon	599130	622754	chromosome_1	7668745	7645122	23625	23624	25
scaffold1_size20154211_pilon	622720	630230	chromosome_1	7645020	7637508	7511	7513	26
scaffold1_size20154211_pilon	630236	631583	chromosome_1	7637395	7636048	1348	1348	27
scaffold1_size20154211_pilon	636665	677319	chromosome_1	7636050	7595382	40655	40669	28
